"ID","Name","Speed","Health Bonus","Charge Bonus","Stamina Bonus","Cost","Properties","Ruleset","Description"
1,"None",0,0,0,0,0,0,0,
2,"Friesian Horse",70,500,80,50,,0,0,
3,"Mongolian Horse",50,300,40,100,,0,0,
4,"Andalusian Horse",,,,,,,0,
5,"Shire Horse",,,,,,,0,
6,"Arabian Horse",90,400,,,,,0,
7,"Marwari Horse",,,,,,,0,
8,"Percheron Horse",,,,,,,0,
9,"Thessalian Horse",,,,,,,0,
10,"Turkoman Horse",,,,,,,0,
11,"Fergahana Horse",,,,,,,0,
12,"Caspian Horse",,,,,,,0,
13,"Ardennes Horse",,,,,,,0,
14,"Holsteiner Horse",,,,,,,0,
15,"Akhal-Teke Horse",,,,,,,0,
16,"Nisean Horse",,,,,,,0,
17,"Zemaitukas Horse",,,,,,,0,
18,"Menorquin Horse",,,,,,,0,
19,"Don Horse",,,,,,,0,
20,"Lipizzan Horse",,,,,,,,
21,"Barber Horse",,,,,,,,
22,"Lusitano Horse",,,,,,,,
23,"Murgese Horse",,,,,,,,
24,"Clydesdale Horse",60,400,30,100,,,,
25,"Kladruber Horse",,,,,,,,
26,"Fell Pony Horse",,,,,,,,
27,"Suffolk Horse",,,,,,,,
28,"Belgian Horse",,,,,,,,
29,"Jennet Horse",,,,,,,,
30,"Tibetan Pony",,,,,,,,
31,"Ferghana Horse",,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,"Bactrian camel",70,600,30,,,265,0,
47,"Arabian camel",,,,,,265,0,
48,,,,,,,,,
49,"African Elephant",60,2000,200,,,0,0,
50,"Asian Elephant",,,,,,0,0,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
65,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,,,,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
82,,,,,,,,,
83,,,,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,"Light Chariot",70,1300,100,100,,0,0,
98,"Heavy Chariot",30,2500,80,100,,21,0,
99,"War Chariot",55,2000,90,100,,21,0,
100,"Egyptian War Chariot",60,2000,95,100,,21,0,
