"ID","p1_skin","p1_hair","p1_eyebrow","p1_eye","p1_beard","p1_mouth","p1_head","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg","p1_l_leg","p1_r_foot","p1_l_foot","p1_primary_main_weapon","p1_primary_sub_weapon","p1_secondary_main_weapon","p1_secondary_sub_weapon","p2_skin","p2_hair","p2_eyebrow","p2_eye","p2_beard","p2_mouth","p2_head","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg","p2_l_leg","p2_r_foot","p2_l_foot","p2_primary_main_weapon","p2_primary_sub_weapon","p2_secondary_main_weapon","p2_secondary_sub_weapon"
"0","none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
2,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
3,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
4,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
5,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
6,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
7,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
8,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
9,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
11,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
12,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
13,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
14,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
15,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
16,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
17,"none","short,brown","normal_eyebrow,brown","normal_eye,brown","no_beard,none","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
