"ID","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10","para11","para12","para13","para14","para15"
1,,,,,,,,,,,,,,,
2,"William of house Normandy, an illegitimate son of Robert I the Magnificent (hence the nickname “the Bastard”), was born around 1027. He became the Duke of Normandy at the age of 8 but his rise was nothing short of challenging due to his birth status. Many nobles attempted to gain custody of the young duke or organise rebellions to seize the dukedom. With the support of King Henry I of France and many prominent nobles, William managed to consolidate the region of Normandy under his rule in the end.","William first experience in warfare began in the Battle of Varaville, 1047, against a rebellion led by Guy of Burgundy and the fellow conspirators. With the support of King Henry I who personally raised an army of 10,000 strongs to support William's much smaller army, they managed to win against the less organised rebel army, while being outnumbered by at least 2 to 1. The battle ended prematurely after the rebel army became disheartened after losing multiple cavalry skirmishes and broken apart.","After crushing the rebels in the Battle of Varaville, William continuously removed those who threaten his rule in a series of battles and sieges. After his rule of Normandy was firmly in place, William never stop expanding his influence, which ultimately caused great concern to both the French King, Henry I, and his court. Thus, Henry I and multiple French and Norman nobles marched to seize control of Normandy. Two invasions were attempted which result in the Battle of Mortemer in 1054 and Battle of Varaville in 1057.","With Normandy now under his control, William expanded his control even further with the Invasion of Brittany in 1064, only two years before the England invasion. Although the exact purpose of this invasion is not recorded, William managed to secure the border and also gained many Breton allies who will assist in the upcoming invasion. Additionally, it is with this invasion that multiple Norman sided sources claim Harold Godwinson assisted William in the invasion and promised to help him secure the throne of England.","Edward the Confessor recently passed away in 1066 and Harold proclaimed himself as King of England. William, who also claim to receive such blessing from King Edward, prepared an invasion to claim his rightful throne. Two war councils were called to plan the invasion and multiple prominent rulers at the time seem to support the invasion including the pope himself. William's army was assembled and the fleet was constructed in Normandy. ","Interestingly, the initial beginning of the invasion did not go well, the strong wind caused a major delay to the invasion, loss of fleet portion and decrease in the morale. This misfortune, however, creates a significant adventurous turn of event for William as King Harald of Norway arrived a few days earlier at Northumbrian coast. This cause Harold to march his army up north to deal with the Norwegian invasion and allows William's force to land safely at Pevensey Bay with plenty of time to recuperate.","IMAGE:\data\ruleset\historical\leader\lore_image\william_1.png","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Picture: William holding a feast after fleet landing.","In the Battle of Hastings, William positioned his Conroi knights contingent behind the frontline during the initial phase of the battle. It is very likely that in the melee phase in mid-day that he personally led the charge into the enemy infantry line. If the chronicle to be believed, William was unhorsed and almost got killed multiple times in battle, which can be the cause of rumour of his death among the troop. At the end of the day, William managed to win against all odds and came out victorious. ","IMAGE:\data\ruleset\historical\leader\lore_image\william_2.png","Picture: William in battle openning his                                        helmet to prove that he was still alive                                       and rally his men.","After the battle, William marched his army to London while also spreading his force to crush the remaining Saxon resistance around the country. Upon reaching London, William ordered the construction of the Tower of London to fortified the capital. He was coronated as the king of England at Westminster Abbey on Christmas day 1066.  The English throne would then no longer be a dream but a reality. Thus marked the end of Saxon influence in England and the Norman conquest.","With William as now king, he replaced the old Saxon law and culture with the Norman one. Many former Saxon nobles were replaced with those who accompanied William in the invasion. Unsurprisingly, many remaining Saxon nobles would continue the resistance for the years to come. Even worse, King Sweyn II of Denmark supported the rebellion and mobilised his army for invasion. The resistance would continue for no less than two more decades after the end of conquest.",,"His story did not conclude elegantly even in his death. His lifeless body went rotten before the burial ceremony, and it swelled up to the point that it exploded when stuffed inside the coffin. His throne also did not pass on peacefully for succession rebellion between his two sons occurred only one year after, and the rule of his son (Rufus, the one who won) too ended tragically with an arrow to the chest."
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
