"ID","Name","ImageID","Grade","Race","Properties","Abilities","Cost","Upkeep","Melee Attack","Melee Defense","Range Defense","Armour","Accuracy","Range","Ammunition","Reload","Charge","Charge Skill","Health","Stamina","Mana","Melee Weapon","Range Weapon","Morale","Discipline","Sight","Size","Troop","Unit Type","Mount","Spell","Item","Description"
1,"Norman Swordsmen",0,1,1,0,"36",0,0,30,50,20,"5,3",0,0,0,0,35,21,1000,1000,,"2,3","1,0",100,50,5,1,100,1,"1,0",,,"These Norman Swordsmen were a group of more affluent warriors, peasants or even mercenaries who were able to acquire a prestigious weapon as a sword. The swords they used were likely to be in the same category as the Viking sword (Carolingian sword) which was the predecessor to the Medieval knight sword. These swordsmen were one of the most versatile infantries for both defensive and offensive situation."
2,"Norman Axemen",0,1,1,0,36,0,0,40,30,15,"5,3",0,0,0,0,45,21,1000,1000,,"14,3","1,0",100,50,5,1,100,1,"1,0",,,"Contrary to the popular belief, a sword is not a weapon of choice for infantry in the medieval army. Aside from the obvious choice that is the spear, an axe is one of the more common weapons wielded by both light and heavy infantry alike. Even more so for the Norse descendants, Normans, who still use a Dane axe just like the Anglo-Saxon infantries."
3,"Norman Spearmen",0,1,1,0,"33,36",0,0,25,45,20,"5,3",0,0,0,0,50,21,1000,1000,,"6,3","1,0",100,50,5,1,100,1,"1,0",,,"Spearmen were the core of almost every army in the entire ancient world. Norman army very likely employed lines of spearmen at the front to counter the enemy cavalries' charge. It may be possible that Harold Godwinson knew of this fact and it was one of the factors that caused him to order his cavalries to dismount before the Battle of Hastings commenced and concentrate on defensive tactic instead of senseless charge. "
4,"Norman Archers",1,1,1,0,0,0,0,14,20,0,"21,3",45,150,80,15,5,19,1000,1000,,"5,3","25,3",100,50,5,1,50,2,"1,0",,,"Archery is a practice that existed since ancient time. When no weapon, not even the mighty crossbow, can surpass capable archers in battle. Norman army was fielded with many archers, probably in similar or more number than the crossbowmen. Out of all range weapon available during the Medieval period, bows were undoubtedly the most balance instrument for annihilating the enemy force.  "
5,"Norman Crossbowmen",1,1,1,0,0,0,0,11,16,0,"21,3",45,120,80,20,5,19,1000,1000,,"5,3","27,3",100,50,5,1,50,2,"1,0",,,"As the evident records seem to suggest, the Norman forces at the Battle of Hastings brought not only archers but also crossbowmen in their ranks. Of course, due to the lack of technological advancement in the late Medieval period, the crossbows used during the Battle of Hastings were likely to be the equivalent of light crossbows. Nevertheless, such weapons were still capable of penetrating chainmail armour all the same."
6,"Norman Conrois",0,2,1,0,0,0,0,40,40,10,"5,3",30,70,10,8,35,21,1000,1000,,"6,4","22,3",100,60,5,1,50,6,"2,2",,,"Norman cavalries, Conrois, were the Norman equivalent of Medieval “knight”. Conrois were professional soldiers who received horsemanship and combat training since they come of age. These Conrois were equipped with chainmail armour, a leaf shape spear similar to Kontos lance used by ancient cavalries. Although considered to be heavy cavalry type of its own time, Conrois lack the shock impact of the medieval knights and their horses were not equipped with any armour."
7,"Frankish Swordsmen",0,1,1,0,36,0,0,30,50,20,"5,3",0,0,0,0,35,21,1000,1000,,"2,3","1,0",100,50,5,1,100,1,"1,0",,,"These Frankish swordsmen were indeed a rare sight in the battlefield. In the Middle age, swords were considered to be a more noble weapon of all melee weapon at the time. With the majority of the medieval army consisting of militia serfs, most soldiers would instead use weapons that are cheaper to construct and trained such as axe and spear. With a Carolingian sword in one hand and a round shield in another, these men are ready for war."
8,"Frankish Axemen",0,1,1,0,36,0,0,35,40,20,"5,3",0,0,0,0,45,21,1000,1000,,"13,3","1,0",100,50,5,1,100,1,"1,0",,,"Undoubtedly equipped with standard chainmail armour and common weapon used around the Western European at the time, Frankish Axemen are likely to use one hand axe and round shield rather than Dane axe and kite shield used by the Norman counterpart. Although named as Frankish, these soldiers may consist of paid soldiers from all around Europe, of course including his french allies."
9,"Frankish Spearmen",0,1,1,0,"33,36",0,0,25,45,20,"5,3",0,0,0,0,50,21,1000,1000,,"6,3","1,0",100,50,5,1,100,1,"1,0",,,"Just like any other Medieval spearmen, Frankish Spearmen were the standard infantries of the French army in the Middle Age. Armed with a set of spear, shield and chainmail armour, they are one of the very best defensive troops one can have against both infantry and cavalry alike. The French knew too well the upcoming domination of heavy cavalry for they themselves were one of the inventors of finest Medieval cavalry force in Europe."
10,"Frankish Archers",1,1,1,0,0,0,0,14,20,0,"21,3",45,150,80,15,5,19,1000,1000,,"5,3","25,3",100,50,5,1,50,2,"1,0",,,"These Frankish Archers can easily dominate any other skirmish and medium infantries units from afar. With superior shooting range, well-balanced damage and reloading trade-off and arc shot capability, they are no doubt the most valuable damage-dealing troops in the battlefield so protect them at all cost."
11,"Frankish Crossbowmen",1,1,1,0,0,0,0,11,16,0,"21,3",45,120,80,20,5,19,1000,1000,,"5,3","27,3",100,50,5,1,50,2,"1,0",,,"Frankish crossbowmen are likely to share the same characteristic and equipment as the Norman crossbowmen similar to how the Norman Conrois adopted cavalry tactic from the French knights. This is because the Normandy region was part of the Kingdom of France's territory at the time. The crossbows that these troops used would be the early type of light crossbow that lack the shooting power of the war crossbow in the later century."
