"id","biography","portrait_context"
1,,"The portrait displays the moment before Remance ordered for the charge of his personally trained cavalry units, Malebels, against the battalion of Emadshu Star Makers orc units. The dust from horses galloping and orcs stomping became so thick that no one in that battlefield can see what is going on. In the moment of confusion, Remance and his troops managed to charge through the entire orc army as they can not even muster any decent defence against something they cannot even see until the final fraction of a second. At the end of the day, his unthinkable victory against this infamous orc army landed him a Barony of Salenkes and a title of Lion General, which opening up his path to legend."
2,,
3,,"There is very few time Jonas can be seen without a facade on his face. After perfecting the absolute control of emotion and mind, his very nature becomes almost non-existence and any personality he conjures in a matter of seconds is nothing but a lie. It can be said there is no one but Jonas himself that ever seen his true self not even by those consider themselves to be his friend or family. The portrait shows the moment when Jonas display his true emotion after so many years when the experiment he devised finally succeeds. At long last, he solves the paradox of greed and the civilised world is now in the palm of his hand. "
4,,"This is the exact moment when Vars is about to get beaten of his life by Aunnial the Holy Maiden in the Masendor invasion of Valle after hearing the rumour about the unbeatable holy maiden. Underneath the clothes, Vars with at least 20 grade S (according to him since no one really grades cursed items) cursed items that normally would kill anyone who wears them reduce his strength down to at a superhuman level. He is also accompanied by an army of witches and dark wizards he recruited (forcefully) to perform curse magic on him to reduce his strength even further. Although lost consecutively for 6 six days, his abnormal growth manages to surpass Aunnial whom being supported by the physical strengthen magic from the whole nation. A challenge he will never face again for the unforeseeable future end disappointingly for him. "
5,,"The portrait shows Orsanoas being swung (willingly) by fellow Brothers of Kolinkeus to relieve his anger of being cheated in a duel. This is a popular traditional activity called ""Ekkutukai"" (Tossing anger) among Kolinkeus Practitioners where 2 of the strongest Brothers (or Sisters) of Kolinkeus grab the hands of the angry requestor and start swinging him as fast as possible (thinks of teacup carousel for real-life comparison) while the requestor loudly yells out his anger. The act usually ends by tossing the person into a lake as it is quite difficult to cease the momentum properly without injury. This tradition was invented by some Kolinkeus genius a few centuries ago who discover that such an act is not only undeniably enjoyable but can also be used to demonstrate the strength of the practitioners."
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,"Being interested in astrology since childhood, Venvilov often observes and consults the star at night for fortune. He himself only half-believe in such activity but still performing it to relieve his endless worry. This night before Battle of Hostalun that will decide the fate of not only Rendos Suclin Empire but mankind itself is the same as any other nights. He observes the movement of Agostos and Otiostase constellation and finally comes to the conclusion that tomorrow his empire will win the battle yet lose something important."
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,"Although being successful in following the tradition of her family and obtain the royal knight title of Milingrels, in her mind Niavesia understands that her talent alone does not bring her here to this point and there is always an unshakable feeling in the back of her mind that there may be another path she should follow. She regularly ponders upon the destiny that can no longer be fulfilled and of course, she never was nor will be able to discuss this matter openly with anyone. "
38,,
39,,
40,,
41,,"The feared crimson empress is the nicknamed call by the enemy of Liwa as she always wears a red dress while leading an army. Looking from afar, her red blood magic aura performance following by raining balls of fire deceives enemies into thinking that she is an extremely powerful wizard.  Empress Liwa understand that there is power in appearance without substance, people typically choose to believe what they can see even if what they see is not the truth. Combining with fear and irrationality, any impossibility can become a reality at least in one's mind."
42,,
43,,
44,,"A girl in an unfamiliar land hunting for unseen herbs for her alchemy experiment. Little did Sasinola knew that the butterfly creature annoyingly sprinkling purple dust on her is called Lokhuticse (Marked of Death) that have mutualism symbiotic relationship with another creature called Akashijus (Hidden Bear). Lokhuticse is a carnivorous insect that eats the remains corpse of Akashijus's prey. It assists Akashijus's olfactory perception by sprinkling its dust on the target that Akashijus can smell from miles away. Akashijus will then stalk the unaware prey until it is sure that the hunt can be performed safely without a competitor. Luckily, the cowardly Sasinola is not without prepared as the drug she created works as a countermeasure against many creatures including Akashijus."
45,,
46,,"Being a master of life magic, Sonagsha often detaches and plays with her own bodyparts out of boredom beside reading the tiny books dangle from her hat. Aside from serving as a time-killing activity, she sometimes performs such an act to entertain or scare off people she found annoying.  These people are considered to be fortunate examples as she typically lures and dismantles unsuspecting people with her deceptive childlike appearance for her research. At the end of the day, never approach a child walking around alone be it in the town or forest since nothing good will ever come out of such encounter.   "
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
